1	32	מזדהה	אורנה פילץ	גיבורות גדולות	18	הֵכַנוּ דַּף מְסָרִים, פְּשׁוּטִים, בְּרוּרִים, אֲנִי בֶּאֱמֶת חוֹשֶׁבֶת שֶׁאִם תְּעְיִין בּוֹ תִּרְאֶה בְּעַצְמְךָ שֶׁיֵּשׁ בּוֹ הַרְבֵּה הִיגָּיוֹן, שֶׁאַתָּה מִזְדַּהֶה עִם לֹא מְעַט מֵהַתְּכָנִים.	הֵכַנוּ דַּף מְסָרִים, פְּשׁוּטִים, בְּרוּרִים, אֲנִי בֶּאֱמֶת חוֹשֶׁבֶת שֶׁאִם תַּעְיְינִי בּוֹ תִּרְאִי בְּעַצְמְךָ שֶׁיֵּשׁ בּוֹ הַרְבֵּה הִיגָּיוֹן, שֶׁאֶת מִזְדַּהֶה עִם לֹא מְעַט מֵהַתְּכָנִים.	2	1	1
2	42	מתקשה	אילנה המרמן	לראות אותם רואים את הים (פרק מתוך אישה לבדה)	17	אַחַר כָּךְ יִשְׁכְּחוּ וְיִצְעֲקוּ וְיצְוּּוחוּ זֶה אֶל זֶה וְזֶה עַל זֶה בַּצְּלִילִים הַגְּרוֹנִיִּים הָאֵלֶּה שֶׁהָאִישׁ הַמְּבוּגָּר שֶׁאִיתָּם מִתְקַשָּׁה כָּל כָּךְ לִלְמוֹד לַהֲגוֹתָם כַּהֲלָכָה.	אַחַר כָּךְ יִשְׁכְּחוּ וְיִצְעֲקוּ וְיצְוּּוחוּ זֶה אֶל זֶה וְזֶה עַל זֶה בַּצְּלִילִים הַגְּרוֹנִיִּים הָאֵלֶּה שֶׁהָאִישָּׁה הַמְּבוּגֶּרֶת שֶׁאִיתָּם מִתְקַשָּׁה כָּל כָּךְ לִלְמוֹד לַהֲגוֹתָם כַּהֲלָכָה.	2	0	1
3	44	מתקשה	אילקה פָפ-זקור	קוויאר	18	אֲבָל מֵעַל הַכּוֹבַע אֲנִי מֵרִיחַ רֵיחַ שֶׁל דָּגִים, לֹא מְקוּלְקָלִים, אֶלָּא טְרִיִים לְמַדַּי, עִם רֵיחַ לְוַואי כָּלְשֶׁהוּ שֶׁאֲנִי מִתְקַשָּׁה לְהַגְדִּיר.	אֲבָל מֵעַל הַכּוֹבַע אֲנִי מֵרִיחָה רֵיחַ שֶׁל דָּגִים, לֹא מְקוּלְקָלִים, אֶלָּא טְרִיִים לְמַדַּי, עִם רֵיחַ לְוַואי כָּלְשֶׁהוּ שֶׁאֲנִי מִתְקַשָּׁה לְהַגְדִּיר.	1	0	1
4	54	מתחקה	אלזה מורנטה	המשחק הסודי	8	עַכְשָׁיו, מִשֶּׁנִּרְגַע, נִרְאֶה מְכוֹנָּס בְּתוֹךְ עַצְמוֹ וְקָשׁוּב, כְּמִי שֶׁמִּתְחָקָה בִּזְהִירוּת אַחַר עִקְבוֹתָיו שֶׁל חֲלוֹם.	עַכְשָׁיו, מִשֶּׁנִּרְגְּעָה, נִרְאֲתָה מְכוֹנֶסֶת בְּתוֹךְ עַצְמָהּ וּקְשׁוּבָה, כְּמֵי שֶׁמִּתְחָקָה בִּזְהִירוּת אַחַר עִקְבוֹתָיו שֶׁל חֲלוֹם.	2	0	0
5	54	מתרצה	אלזה מורנטה	המשחק הסודי	1	וְהוּא, מִתְרַצֶּה, נִרְדַם.	וְהִיא, מִתְרַצֶּה, נִרְדֶּמֶת.	1	1	0
6	56	מתגלה	אלחנדרה סינה	הזקיף	9	מוֹרִין לִיקֵק מֵהַשְּׂפָם טִיפּוֹת בְּצֶבַע אַרְגָּמָן וְחִייֵךְ כְּמוֹ יֶלֶד שֶׁמִּתְגַּלֶּה מִכְוֵוץ בְּמַחְבּוֹאוֹ.	מוֹרִין לִיקְקָה מֵהַשָּׂפָם טִיפּוֹת בְּצֶבַע אַרְגָּמָן וְחִייְּכָה כְּמוֹ יַלְדָּה שֶׁמִּתְגַּלֶּה מְכוֶּוֶּצֶת בַּמִּחְבּוֹאָה.	1	1	0
7	67	מתענה	אלכסנדר סרגייביץ' פושקין	מלכת פיק	14	כְּשֶׁחָזַר הַבַּיְתָה, רָץ לַחַלּוֹן – הַקְּצִינָה עָמְדָה כְּמִקּוֹדֶם, נוֹעֶצֶת בּוֹ אֶת עֵינֶיהָ: הוּא הִתְרַחֵק, מִתְעַנֶּה בְּסַקְרָנוּת וְנִרְגָּשׁ מִתְּחוּשָׁה שֶׁהָיְתָה לוֹ חֲדָשָׁה לְגַמְרֵי.	כְּשֶׁחָזְרָה הַבַּיְתָה, רָצָה לַחַלּוֹן – הַקָּצִין עָמַד כְּמִקּוֹדֶם, נוֹעֵץ בָּהּ אֶת עֵינָיו: הִיא הִתְרַחֲקָה, מִתְעַנֶּה בְּסַקְרָנוּת וְנִרְגֶּשֶׁת מִתְּחוּשָׁה שֶׁהָיְתָה לָהּ חֲדָשָׁה לְגַמְרֵי.	2	1	0
8	67	מתקשה	אלכסנדר סרגייביץ' פושקין	מלכת פיק	5	הוּא לֹא הֶאֱמִין לְמַרְאֵה עֵינָיו, מִתְקַשֶּׁה לְהָבִין אֵיךְ יָכוֹל הָיָה לְהַחֲטִיא.	הִיא לֹא הֶאֱמִינָה לְמַרְאֵה עֵינֶיהָ, מִתְקַשָּׁה לְהָבִין אֵיךְ יְכוֹלָה הָיְתָה לְהַחֲטִיא.	1	1	1
9	73	מתגרה	אמיליאנו מוֹנחֶה	אחד שסתם היה שם	1	אַתָּה מִתְגָּרֶה בִּי, שִׁיגֵּר אַרְנַנְדֶּס.	אֶת מִתְגָּרֶה בִּי, שִׁיגֵּר אַרְנַנְדֶּס.	1	1	1
10	89	מתאווה	אנטון צ'כוב	יגון	5	כְּשֵׁם שֶׁהַבָּחוּר הִתְאַוָּוה לַמַיִם, כָּךְ מִתְאַוֶּוה הוּא לַשִּׂיחָה.	כְּשֵׁם שֶׁהַבַּחוּרָה הַתְאֲוְותָה לַמַיִם, כָּךְ מִתְאַוֶּוה הִיא לַשִּׂיחָה.	1	1	0
