1	2	מזהה	אָישָה דה לה קרוס	Famous Blue Raincoat	10	בְּפִיגּוּר מְסוּיָּם הוּא נוֹתֵן לַצְּווֹחָה לְהִימָּלֵט מִפִּיו, צְווֹחָה שֶׁהוּא אֵינוֹ מְזַהֶה כָּשְׁלוּ.	בְּפִיגּוּר מְסוּיָּם הִיא נוֹתֶנֶת לַצְּווֹחָה לְהִימָּלֵט מִפִּיהָ, צְווֹחָה שֶׁהִיא אֵינָהּ מְזַהָה כָּשְׁלָה.	1	1	1
2	2	מנסה	אָישָה דה לה קרוס	Famous Blue Raincoat	2	הוּא לֹא מְנַסֶּה לַעֲצוֹר בַּעֲדָהּ, כִּי הוּא יוֹדֵעַ שֶׁזֶּה יִהְיֶה לַשָּׁוְוא.	הִיא לֹא מְנַסָּה לַעֲצוֹר בַּעֲדָהּ, כִּי הִיא יוֹדַעַת שֶׁזֶּה יִהְיֶה לַשָּׁוְוא.	1	1	1
3	2	מונה	אָישָה דה לה קרוס	Famous Blue Raincoat	1	הוּא מוֹנֶה שְׁלוֹשׁ מֵאוֹת אַרְבָּעִים וְתֵשַׁע נְקִישׁוֹת מָחוֹג וְנִשְׁמַעַת יְרִיָּיה.	הִיא מוּנָּה שְׁלוֹשׁ מֵאוֹת אַרְבָּעִים וְתֵשַׁע נְקִישׁוֹת מָחוֹג וְנִשְׁמַעַת יְרִיָּיה.	1	1	0
4	3	מנסה	אדגר אלן פו	הבור והמטוטלת	12	לוֹ יָכוֹלְתִּי לִקְרוֹעַ אֶת הַמּוֹסְרוֹת מֵעַל מַרְפְּקִי כִּי אָז הָיִיתִי תּוֹפֵס בִּמְטוּטֶּלֶת וּמְנַסֶּה לַעֲצוֹר אוֹתָהּ.	לוֹ יָכוֹלְתִּי לִקְרוֹעַ אֶת הַמּוֹסְרוֹת מֵעַל מַרְפְּקִי כִּי אָז הָיִיתִי תּוֹפֶסֶת בִּמְטוּטֶּלֶת וּמְנַסָּה לַעֲצוֹר אוֹתָהּ.	1	1	1
5	4	מדמה	אדגר אלן פו	הלב המדובב	1	אַתָּה מְדַמֶּה שֶׁאֲנִי מְשׁוּגָּע.	אַתְּ מְדַמֶּה שֶׁאֲנִי מְשׁוּגָּע.	1	1	0
6	6	מזהה	אדגר אלן פו	נפילת בית אשר	6	כְּלוּם אֵינִי שׁוֹמֵעַ פְּעִימָה כְּבֵדָה וַאֲיוּמָּה, וּמְזַהָה בָּהּ אֶת הַלְמוּת לִבָּהּ?	כְּלוּם אֵינִי שׁוֹמַעַת פְּעִימָה כְּבֵדָה וַאֲיוּמָּה, וּמְזַהָה בָּהּ אֶת הַלְמוּת לִבָּהּ?	1	0	1
7	8	מנסה	אדוארדו ברטי	יומנה של קוראת עיתונים	5	פַּעַם אַחַת כְּבָר תָּפַסְתִּי אוֹתוֹ מְנַסָּה לִפְתּוֹחַ אֶת הָאָרוֹן שֶׁלְּךָ, אָז צָרַחְתִּי עָלָיו וְהוּא בָּרַח.	פַּעַם אַחַת כְּבָר תָּפַסְתִּי אוֹתָהּ מְנַסָּה לִפְתּוֹחַ אֶת הָאָרוֹן שֶׁלָּךְ, אָז צָרַחְתִּי עָלֶיהָ וְהִיא בָּרְחָה.	2	0	1
8	12	מודה	אדית נסביט	רקס פורטונטוס ושות'	4	אֲנִי אוֹמֵר לְךָ לֹא וּמוֹדֶה לְךָ, אָמַר.	אֲנִי אוֹמֶרֶת לְךָ לֹא וּמוֹדֶה לָךְ, אָמְרָה.	2	1	0
9	12	מקוה	אדית נסביט	רקס פורטונטוס ושות'	1	אֲנִי מְקַוֶּה שֶׁלֹּא הִקְדַּמְתִּי, אָמַר.	אֲנִי מְקַוֶּה שֶׁלֹּא הִקְדַּמְתִּי, אָמְרָה.	1	1	0
10	12	מרוצה	אדית נסביט	רקס פורטונטוס ושות'	6	טוֹב, הָעַלְמָה פִיצְרוֹי רוֹבִּינְסוֹן, אָמַר, "אֲנִי מְרוּצֶּה לַחֲלוּטִין מֵהִתְקַדְּמוּתָהּ שֶׁל דֶּיְיזִי מִיּוֹם שֶׁהִיא נְתוּנָה לְהַשְׁגָּחָתְךָ."	טוֹב, הָעַלְמָה פִיצְרוֹי רוֹבִּינְסוֹן, אָמְרָה, "אֲנִי מְרוּצֶּה לַחֲלוּטִין מֵהִתְקַדְּמוּתָהּ שֶׁל דֶּיְיזִי מִיּוֹם שֶׁהִיא נְתוּנָה לְהַשְׁגָּחָתְךָ."	1	1	0
11	12	מקוה	אדית נסביט	רקס פורטונטוס ושות'	9	אַחֲרֵי שֶׁסִּיפְּרוּ אֶת שֶׁהִתְרַחֵשׁ, אָמַר – "חֲבֵרִים יְקָרִים, אֲנִי מְקַוֶּה שֶׁתִּסְלְחוּ לִי – חוּקֵּי הַכְנָסַת הָאוֹרְחִים אָמְנָם נוּקְשִׁים – אֲבָל בַּעֲסָקִים כְּמוֹ בַּעֲסָקִים, אַחֲרֵי הַכֹּל."	אַחֲרֵי שֶׁסִּיפְּרוּ אֶת שֶׁהִתְרַחֵשׁ, אָמְרָה – "חֲבֵרִים יְקָרִים, אֲנִי מְקַוֶּה שֶׁתִּסְלְחוּ לִי – חֻקֵּי הַכְנָסַת הָאוֹרְחִים אָמְנָם נִקְשִׁים – אֲבָל בַּעֲסָקִים כְּמוֹ בַּעֲסָקִים, אַחֲרֵי הַכֹּל."	1	1	0
12	16	מרשה	או. הנרי	העלה האחרון	2	מַדּוּעַ אַתָּה מַרְשֶׁה לַטִּיפְּשׁוּת הַזֹּאת לְהִיכָּנֵס לְרֹאשׁ?	מַדּוּעַ אַתְּ מַרְשֶׁה לַטִּיפְּשׁוּת הַזֹּאת לְהִיכָּנֵס לְרֹאשׁ?	2	1	0
13	17	מבלה	או. הנרי	כופר נפשו של הצ'יף האדום	5	בַּמִּשְׁפָּחָה שֶׁלּוֹ אוּלַי חוֹשְׁבִים שֶׁהוּא מְבַלֶּה אֶת הַלַּיְלָה אֵצֶל הַדּוֹדָה גֵ'יְין אוֹ אֵצֶל אֶחָד הַשְּׁכֵנִים.	בַּמִּשְׁפָּחָה שֶׁלָּהּ אוּלַי חוֹשְׁבִים שֶׁהִיא מְבַלָּה אֶת הַלַּיְלָה אֵצֶל הַדּוֹדָה גֵ'יְין אוֹ אֵצֶל אֶחָד הַשְּׁכֵנִים.	1	1	1
14	17	מנסה	או. הנרי	כופר נפשו של הצ'יף האדום	2	אֲנִי לֹא מְנַסֶּה, אוֹמֵר הוּא, "לְזַלְזֵל בַּצַּד הַמּוּסָרִי הַמְּהוּלָּל שֶׁל אַהֲבַת הוֹרִים לִילָדִים."	אֲנִי לֹא מְנַסֶּה, אָמְרָה הִיא, "לְזַלְזֵל בַּצַּד הַמּוּסָרִי הַמְּהוּלָּל שֶׁל אַהֲבַת הוֹרִים לִילָדִים."	1	1	0
15	19	מגלה	אוגוסטין קופסה	התקררות	8	כָּל אֵימַת שֶׁהָיָה מַגִּיעַ לְסוֹפוֹ שֶׁל דַּף, הָיָה מְגַלֶּה דַּף נוֹסָף בַּתִּיק.	כָּל אֵימַת שֶׁהָיְתָה מַגִּיעָה לְסוֹפוֹ שֶׁל דַּף, הָיְתָה מְגַלָּה דַּף נוֹסָף בַּתִּיק.	1	1	1
16	20	מודה	אווה מֶנָסֶה	עצלות	4	הוּא לְעוֹלָם לֹא הָיָה מוֹדֶה בְּכָךְ.	הִיא לְעוֹלָם לֹא הָיְתָה מוֹדָה בְּכָךְ.	1	1	1
17	23	מכנה	אוסקר וויילד	מודל למיליונר	10	נַעֲרֵי הַיָּקָר, אָמַר טַרְווֹר בְּחִיּוּךְ, "הַקַּבְּצָן הַזָּקֵן הַהוּא, כְּפִי שֶׁאַתָּה מְכַנֶּה אוֹתוֹ, הוּא אַחַד הָאֲנָשִׁים הָעֲשִׁירִים בְּיוֹתֵר בְּאֵירוֹפָּה."	נַעֲרָתִי הַיְּקָרָה, אָמַר טְרָוֶור בְּחִיּוּךְ, "הַקַּבְּצָן הַזָּקֵן הַהוּא, כְּפִי שֶׁאַתְּ מְכַנֶּה אוֹתוֹ, הוּא אַחַד הָאֲנָשִׁים הָעֲשִׁירִים בְּיוֹתֵר בְּאֵירוֹפָּה."	1	1	0
18	24	מנסה	אופיר עוז	למה אנחנו לא עושים את זה	9	אֲפִילּוּ הַקְּמָטִים הַקְּטַנִּים שֶׁמַּתְחִילִים לְהִיוּוֹצֵר אֶצְלוֹ — הוּא לֹא מְנַסֶּה לְהַסְתִּיר אוֹתָם, כֵּן?	אֲפִילּוּ הַקְּמָטִים הַקְּטַנִּים שֶׁמַּתְחִילִים לְהִיוּוֹצֵר אֶצְלָהּ — הִיא לֹא מְנַסָּה לְהַסְתִּיר אוֹתָם, כֵּן?	2	1	1
19	25	מנסה	אופיר עוז	שמחתי לא להכיר אותך	20	רַק אַחֲרֵי שֶׁהֵם עוֹזְבִים אוֹתִי וְהוֹלְכִים לָשֶׁבֶת עִם הַהוֹרִים שֶׁלִּי עַל קָפֶה וּפוֹלִיטִיקָה, אֲנִי חוֹזֵר בְּשֶׁקֶט לַכַּף שֶׁל הַטְּרַקְטוֹר שֶׁלִּי, מְנַסֶּה לְיַיצֵּב עָלָיו חֵלֶק אָדוֹם שֶׁל לֵגוֹ.	רַק אַחֲרֵי שֶׁהֵם עוֹזְבִים אוֹתִי וְהוֹלְכִים לָשֶׁבֶת עִם הַהוֹרִים שֶׁלִּי עַל קָפֶה וּפוֹלִיטִיקָה, אֲנִי חוֹזֶרֶת בְּשֶׁקֶט לַכַּף שֶׁל הַטְּרַקְטוֹר שֶׁלִּי, מְנַסֶּה לְיַיצֵּב עָלָיו חֵלֶק אָדוֹם שֶׁל לֵגוֹ.	1	1	1
20	25	מכבה	אופיר עוז	שמחתי לא להכיר אותך	2	וְאָז אַבָּא מְכַבֶּה לָנוּ אֶת הַטֵּלֵוִויזְיָה, וַאֲנַחְנוּ מוֹחִים, לַמְרוֹת שֶׁגַּם לָנוּ קְצָת נִמְאַס.	וְאָז אִמָּא מְכַבֶּה לָנוּ אֶת הַטֵּלֵוִויזְיָה, וַאֲנַחְנוּ מוֹחִים, לַמְרוֹת שֶׁגַּם לָנוּ קְצָת נִמְאַס.	1	1	0
21	25	מנסה	אופיר עוז	שמחתי לא להכיר אותך	1	אַבָּא מְנַסֶּה לְהַלְהִיב אוֹתִי.	אִמָּא מְנַסָּה לְהַלְהִיב אוֹתִי.	2	1	1
