1	1	רוצה	אֶמינֶה סֶבְגִי אוֹזדָמָר	איסטנבול שלי	7	אֲדוֹנִי, אִם אַתָּה לֹא יוֹדֵעַ לְאָן אַתָּה רוֹצֶה לִנְסוֹעַ, לָמָּה נִכְנֶסֶת לְמוֹנִית שֶׁלִּי?	גְּבֶרְתִּי, אִם אֶתְּ לֹא יוֹדַעַת לְאָן אַתְּ רוֹצָה לִנְסוֹעַ, לָמָּה נִכְנֶסֶת לְמוֹנִית שֶׁלִּי?	2	1	1
2	1	רוצה	אֶמינֶה סֶבְגִי אוֹזדָמָר	איסטנבול שלי	11	הָאַחֵר הִתְרַגֵז וְאָמַר: "מָה פִּתְאוֹם אַתָּה נוֹתֵן לִי שָׁלוֹשׁ לִירוֹת, אֲנִי רוֹצֶה לִירָה אַחַת."	הָאַחֶרֶת הִתְרַגְּזָה וְאָמְרָה: "מָה פִּתְאוֹם אֶת נוֹתֶנֶת לִי שָׁלוֹשׁ לִירוֹת, אֲנִי רוֹצֶה לִירָה אַחַת."	1	1	0
3	2	רואה	אָישָה דה לה קרוס	Famous Blue Raincoat	12	הַחֲתִימָה עוֹמֶדֶת בְּנִיגּוּד אַכְזָרִי לְנִימָה שֶׁל הַמִּכְתָּב עַצְמוֹ, וְגַם כָּךְ, הוּא לֹא רוֹאֶה בָּהּ שֶׁמֶץ שֶׁל אִירוֹנְיָה.	הַחֲתִימָה עוֹמֶדֶת בְּנִיגּוּד אַכְזָרִי לְנִימָה שֶׁל הַמִּכְתָּב עַצְמוֹ, וְגַם כָּךְ, הִיא לֹא רוֹאָה בָּהּ שֶׁמֶץ שֶׁל אִירוֹנְיָה.	1	1	1
4	2	רוצה	אָישָה דה לה קרוס	Famous Blue Raincoat	10	כְּשֶׁהֵם יַחַד בְּקָרָוָואן הַמַּחְסוֹר בְּמֶרְחָב מִחְיָיה בִּלְתִּי נִסְבָּל, וְהוּא רַק רוֹצֶה שֶׁהִיא תִּתְפּוֹגֵג.	כְּשֶׁהֵם יַחַד בְּקָרָוָואן הַמַּחְסוֹר בְּמֶרְחָב מִחְיָיה בִּלְתִּי נִסְבָּל, וְהִיא רַק רוֹצֶה שֶׁהוּא יִתְפּוֹגֵג.	1	1	0
5	2	רוצה	אָישָה דה לה קרוס	Famous Blue Raincoat	1	הוּא רוֹצֶה לִבְרוֹחַ מִשָּׁם, אֲבָל מַשֶּׁהוּ בְּצוּרוֹת הַמְּעוּיָנוֹת שֶׁמְּקַשְּׁטוֹת אֶת הַקַּשְׂקַשִּׂים שֶׁלּוֹ מֵהַפַּנְט וּמוֹנֵעַ מִמֶּנּוּ לְהַתִּיק אֶת מַבָּטוֹ.	הִיא רוֹצָה לִבְרוֹחַ מִשָּׁם, אֲבָל מַשֶּׁהוּ בְּצוּרוֹת הַמְּעוּיָנוֹת שֶׁמְּקַשְּׁטוֹת אֶת הַקַּשְׂקַשִּׂים שֶׁלּוֹ מֵהַפַּנֵט וּמוֹנֵעַ מִמֶּנָּה לְהַתִּיק אֶת מַבָּטָהּ.	1	1	1
6	3	חולה	אדגר אלן פו	הבור והמטוטלת	2	בְּקוֹמִי הִרְגַּשְׁתִּי חוֹלֶה וְחַלָּשׁ עַד מְאוֹד – הוֹ, עַד כְּלוֹת כָּל הַכּוֹחוֹת!	בְּקוֹמִי הִרְגַּשְׁתִּי חוֹלֶה וְחַלָּשָׁה עַד מְאוֹד – הוֹ, עַד כְּלוֹת כָּל הַכּוֹחוֹת!	1	1	0
7	4	טועה	אדגר אלן פו	הלב המדובב	6	כְּלוּם לֹא אָמַרְתִּי לְךָ שָׁמָה שֶׁאַתָּה טוֹעֶה לִרְאוֹת בּוֹ שִׁיגָעוֹן אֵינוֹ אֶלָּא חַדוֹת-יֶתֶר שֶׁל הַחוּשִׁים?	כְּלוּם לֹא אָמַרְתִּי לְךָ שָׂמָה שֶׁאַתְּ טוֹעֶה לִרְאוֹת בּוֹ שִׁיגָעוֹן אֵינוֹ אֶלָּא חַדוֹת-יֶתֶר שֶׁל הַחוּשִׁים?	1	1	0
8	6	בוהה	אדגר אלן פו	נפילת בית אשר	2	כִּי רְאִיתִיו בּוֹהָה לְרֵיק בְּמֶשֶׁךְ שָׁעוֹת אֲרוּכּוֹת, וְכָל-כּוּלּוֹ דָּרוּךְ כְּאִילּוּ הָיָה מַאֲזִין לְאֵיזֶה צְלִיל דִּמְיוֹנִי.	כִּי רְאִיתִיהָ בּוֹהָה לְרֵיק בְּמֶשֶׁךְ שָׁעוֹת אֲרוּכּוֹת, וְכָל-כּוּלָּהּ דְּרוּכָה כְּאִילּוּ הָיְיתָה מַאֲזִינָה לְאֵיזֶה צְלִיל דִּמְיוֹנִי.	1	0	1
9	7	בוכה	אדהם עאדל	כליון	7	כַּעֲבוֹר חוֹדָשִׁים סְפוּרִים הוֹפִיעַ בַּמְּעָרָה, לְבַדּוֹ, תִּינוֹק בּוֹכָה, אוֹחֵז בְּיָדָיו תִּלְיוֹן קָטָן בְּצֶבַע כֶּסֶף, חֲלוּד בְּשׁוּלָיו, שֶׁחִיסֵּל אֶת מָה שֶׁנּוֹתַר מֵהָאֱנוֹשׁוּת.	כַּעֲבוֹר חוֹדָשִׁים סְפוּרִים הוֹפִיעָה בַּמְּעָרָה, לְבַדָּהּ, תִּינוֹקֶת בּוֹכָה, אוֹחֶזֶת בְּיָדֶיהָ תִּלְיוֹן קָטָן בְּצֶבַע כֶּסֶף, חֲלוּד בְּשׁוּלָיו, שֶׁחִיסֵּל אֶת מָה שֶׁנּוֹתַר מֵהָאֱנוֹשׁוּת.	1	0	1
10	8	רוצה	אדוארדו ברטי	יומנה של קוראת עיתונים	18	הָאֱמֶת, אֲנִי לֹא יוֹדֵעַ אִם הִתְעַצְבַּנְתִּי בִּגְלַל מָה שֶׁסִּיפֵּר לִי אוֹ כִּי אֶתְמוֹל הָיָה יוֹם רִאשׁוֹן וַאֲנִי לֹא רוֹצָה שֶׁיַּפְרִיעוּ לִי בְּסוֹפֵי שָׁבוּעַ.	הָאֱמֶת, אֲנִי לֹא יוֹדַעַת אִם הִתְעַצְבַּנְתִּי בִּגְלַל מָה שֶׁסִּיפְּרָה לִי אוֹ כִּי אֶתְמוֹל הָיָה יוֹם רִאשׁוֹן וַאֲנִי לֹא רוֹצָה שֶׁיַּפְרִיעוּ לִי בְּסוֹפֵי שָׁבוּעַ.	2	0	1
11	8	רוצה	אדוארדו ברטי	יומנה של קוראת עיתונים	11	הוּא נִרְאֶה מְחוּנָּךְ, אֲבָל אֲנִי לֹא חוֹשֶׁבֶת שֶׁהוּא כְּמוֹ שֶׁאַתָּה הָיִית רוֹצֶה שֶׁהוּא יִהְיֶה.	הִיא נִרְאֵית מְחוּנֶּכֶת, אֲבָל אֲנִי לֹא חוֹשֶׁבֶת שֶׁהִיא כְּמוֹ שֶׁאַתְּ הָיִית רוֹצֶה שֶׁהִיא תִּהְיֶה.	1	1	0
12	8	רוצה	אדוארדו ברטי	יומנה של קוראת עיתונים	9	אָדָם מַתְחִיל לִבְכּוֹת וְאוֹמֵר שֶׁהוּא צָרִיךְ לִפְגּוֹשׁ אוֹתִי, הוּא רוֹצֶה לְסַפֵּר לִי מָה קָרָה.	אָנָה מַתְחִילָה לִבְכּוֹת וְאוֹמֶרֶת שֶׁהִיא צְרִיכָה לִפְגּוֹשׁ אוֹתִי, הִיא רוֹצָה לְסַפֵּר לִי מָה קָרָה.	2	1	1
13	8	רואה	אדוארדו ברטי	יומנה של קוראת עיתונים	2	אֲנִי לֹא רוֹאָה טֵלֵוִויזְיָה וְלֹא שׁוֹמֵעַ רַדְיוֹ, כְּדֵי לֹא לִשְׁמוֹעַ חֲדָשׁוֹת שֶׁטֶּרֶם קָרָאתִי.	אֲנִי לֹא רוֹאָה טֵלֵוִויזְיָה וְלֹא שׁוֹמַעַת רַדְיוֹ, כְּדֵי לֹא לִשְׁמוֹעַ חֲדָשׁוֹת שֶׁטֶּרֶם קָרָאתִי.	2	0	1
14	8	דומה	אדוארדו ברטי	יומנה של קוראת עיתונים	6	הַתְּמוּנָה הָיְתָה מְעוּרְפֶּלֶת, אֲבָל הַבָּחוּר הַזֶּה דּוֹמֶה לְךָ כָּל כָּךְ עַד שֶׁהֶחְלַטְתִּי לִבְחוֹן אֶת הַתְּמוּנָה בִּזְכוּכִית מִגְדֶּלֶת.	הַתְּמוּנָה הָיְתָה מְעוּרְפֶּלֶת, אֲבָל הַבַּחוּרָה הַזּוֹ דּוֹמֶה לְךָ כָּל כָּךְ עַד שֶׁהֶחְלַטְתִּי לִבְחוֹן אֶת הַתְּמוּנָה בִּזְכוּכִית מִגְדֶּלֶת.	1	1	0
